raw,buy,buy_src,chain,out,units_per_raw,other_cost_per_raw,value_med_per_raw,value_con_per_raw,profit_med_per_raw,profit_con_per_raw,out_vol_day,out_trades_day,out_med,out_con
basalt,62.5,ah,basalt x4 -> polished_basalt x4,polished_basalt,1.0,0.0,1094.0,1094.0,1031.5,1031.5,102307,1612,1094.0,1094.0
tuff,1.0,orders,(sell raw as-is on AH),tuff,1,0,750.0,750.0,749.0,749.0,208020,3465,750.0,750.0
tuff,1.0,orders,tuff x4 -> polished_tuff x4 -> polished_tuff_slab x6,polished_tuff_slab,2.0,0.0,13282.0,8594.0,13281.0,8593.0,10202,177,6641.0,4297.0
tuff,1.0,orders,tuff x4 -> polished_tuff x4 -> polished_tuff_wall x6,polished_tuff_wall,1.0,0.0,10781.0,7188.0,10780.0,7187.0,5370,85,10781.0,7188.0
tuff,1.0,orders,tuff x4 -> polished_tuff x4 -> tuff_bricks x4,tuff_bricks,1.0,0.0,4688.0,3125.0,4687.0,3124.0,118562,1936,4688.0,3125.0
tuff,1.0,orders,tuff x6 -> tuff_wall x6,tuff_wall,1.0,0.0,3906.0,2656.0,3905.0,2655.0,14023,224,3906.0,2656.0
tuff,1.0,orders,tuff x4 -> polished_tuff x4 -> polished_tuff_stairs x4,polished_tuff_stairs,0.667,0.0,2604.0,2604.0,2603.0,2603.0,20324,322,3906.0,3906.0
tuff,1.0,orders,tuff x3 -> tuff_slab x6,tuff_slab,2.0,0.0,2188.0,2188.0,2187.0,2187.0,40004,634,1094.0,1094.0
deepslate,223.59,ah,(sell raw as-is on AH),deepslate,1,0,453.0,313.0,229.4,89.4,572821,10414,453.0,313.0
amethyst_shard,625.0,ah,(sell raw as-is on AH),amethyst_shard,1,0,625.0,625.0,0.0,0.0,126915,2770,625.0,625.0
amethyst_shard,625.0,ah,amethyst_shard x3 -> calibrated_sculk_sensor x1,calibrated_sculk_sensor,0.333,3333.3,33333.3,33333.3,29375.0,29375.0,916,274,100000.0,100000.0
amethyst_shard,625.0,ah,amethyst_shard x1 -> spyglass x1,spyglass,1.0,126.0,20000.0,20000.0,19249.0,19249.0,1964,1964,20000.0,20000.0
amethyst_shard,625.0,ah,amethyst_shard x4 -> tinted_glass x2,tinted_glass,0.5,70.0,764.0,764.0,69.0,69.0,119018,2035,1528.0,1528.0
amethyst_shard,625.0,ah,amethyst_shard x4 -> amethyst_block x1,amethyst_block,0.25,0.0,390.8,390.8,-234.2,-234.2,313852,6112,1563.0,1563.0
honeycomb,100.0,orders,(sell raw as-is on AH),honeycomb,1,0,1555.0,1547.0,1455.0,1447.0,104145,1877,1555.0,1547.0
honeycomb,100.0,orders,honeycomb x1 -> waxed_oxidized_copper_chain x1,waxed_oxidized_copper_chain,1.0,87500.0,1000000.0,999999.0,912400.0,912399.0,78,10,1000000.0,999999.0
honeycomb,100.0,orders,honeycomb x1 -> waxed_exposed_cut_copper x1 -> waxed_exposed_cut_copper_slab x6,waxed_exposed_cut_copper_slab,2.0,3125.0,240000.0,240000.0,236775.0,236775.0,13,13,120000.0,120000.0
honeycomb,100.0,orders,honeycomb x1 -> waxed_oxidized_lightning_rod x1,waxed_oxidized_lightning_rod,1.0,12255.0,156250.0,154688.0,143895.0,142333.0,201,12,156250.0,154688.0
honeycomb,100.0,orders,honeycomb x1 -> waxed_oxidized_copper_trapdoor x1,waxed_oxidized_copper_trapdoor,1.0,49132.5,180000.0,180000.0,130767.5,130767.5,4755,245,180000.0,180000.0
honeycomb,100.0,orders,honeycomb x1 -> waxed_exposed_cut_copper_slab x1,waxed_exposed_cut_copper_slab,1.0,10000.0,120000.0,120000.0,109900.0,109900.0,13,13,120000.0,120000.0
honeycomb,100.0,orders,honeycomb x1 -> waxed_weathered_cut_copper x1 -> waxed_weathered_cut_copper_slab x6,waxed_weathered_cut_copper_slab,2.0,28125.0,125000.0,121876.0,96775.0,93651.0,443,8,62500.0,60938.0
clay_ball,359.39,ah,(sell raw as-is on AH),clay_ball,1,0,547.0,313.0,187.6,-46.4,96168,1609,547.0,313.0
clay_ball,359.39,ah,clay_ball x4 -> clay x1,clay,0.25,0.0,781.2,113.8,421.9,-245.6,54778,921,3125.0,455.0
dried_kelp,50.0,orders,(sell raw as-is on AH),dried_kelp,1,0,156.0,141.0,106.0,91.0,154520,2506,156.0,141.0
dried_kelp,50.0,orders,dried_kelp x9 -> dried_kelp_block x1,dried_kelp_block,0.111,0.0,222.2,222.2,172.2,172.2,113748,3947,2000.0,2000.0
dried_kelp,50.0,orders,dried_kelp x9 -> dried_kelp_block x1 -> dried_kelp x9,dried_kelp,1.0,0.0,156.0,141.0,106.0,91.0,154520,2506,156.0,141.0
white_wool,103.0,orders,(sell raw as-is on AH),white_wool,1,0,1563.0,1563.0,1460.0,1460.0,274007,5798,1563.0,1563.0
white_wool,103.0,orders,white_wool x1 -> white_harness x1,white_harness,1.0,1409.0,60000.0,60000.0,58488.0,58488.0,639,639,60000.0,60000.0
white_wool,103.0,orders,white_wool x1 -> painting x1,painting,1.0,40.0,40000.0,20000.0,39857.0,19857.0,17920,1683,40000.0,20000.0
white_wool,103.0,orders,white_wool x6 -> white_banner x1,white_banner,0.167,0.8,13333.3,13333.3,13229.5,13229.5,38704,7234,80000.0,80000.0
